text,label
روح ترخف,0
صهيوني,1
الشعب التونسي يعرف السبسي بقابة ومخلفات بورفيبة هادا منتظر السبسي تونس اسﻻمبة,0
مرتدين الدين إنكار معلوم الدين بالضرورة,0
برنامج تااااافه عاللخر,0
اللهم زلزل الأرض أقدامهم,1
كلام جهل احترامي,0
مومس بوڨلب,1
أنتضروا الساعة,0
طلعت مايا هنتلتو,0
مجاهدات النكاح التونسيات يعدن حوامل اللقطاء خنزير ولد القحبة عهد بورقيبة صرم أمك وأختك وزوجتك وبناتك مسون وغالي كلب محمد,1
مسلمين نعارض عارضتم جاءات مصائب يعرف عباده جيدا شريعة تولائم عباده داعي فلسفة جهلاء نغير قونيين ارض تحل الكارثة قل سمع وطاعة بشر ضعيف تجهل قونيين الكون غيب,0
شعوب راقية تعمل باجتهاد وإخلاص يعيش الحقوق محفوظة أخلاق راقية يهتم بالآخر وشؤونه احترام متبادل المؤسسات اللاجئون يندمجون الجو العرب التخلف يتواصل الانتهازية واستغلال الدين فعلوا,0
والمادا النساء تونس متبرجات أكثر تونس الأخلاق التربية يخاف الدي خلقهم,0
نبيك مغتصب الاطفال المنيوك,1
هههههههه الهم يضحك أساس هوما جابو السيد وذنو يعتك دا يهزك امبولة واااضح يعييط بابا امي فمى سؤال صحيح يحبو يعملو البووز المستعان الناس تتشغب اذهانها تتلهى الحمد لله مناش جهال تتعدى الحكايات التافهة يراك حزييينة هههه عاملتلي كونان,0
مساكن التوانسة ضحايا الصعلوك بورقيبة,0
مايا القصوري أقل بكثير أنو إنسان يستمع يجيبها تتقاضى أجر السرك تقوم قناة الخور التونسي,0
لغة التعميم تنفع كثير معارضين وكثير موافقين,0
تفووووو لطفي العبدلي راجل شمس الدين,0
وطفي روحك ترجع زبي فاضي شغل نقعد اناقش الكبول,1
ياسبسي ياكافر بالله انشاء تدوم والاسلام يدوم وفرض وسنة النبي الكريم تدوم تونسي وانشاء ساورث ورثي بشرع وريني تعمل ياعميل الصهاينة,1
كس اختك,1
القحبة أمك ولد القحبة ربكم الرجال قومون النساء ينفقون زمان المرا قاعدة الدار تخدمشي العكس المرا تخدم والرجل قاعد القهوة بطال قايمة وبالاسرة,1
حكاية المساواة جبت الصيد وذنو بلت بالواقفة خييييت موطاك,0
اكيد تونس بلد وسخ طيب سؤال اتحداك أتحداك تجاوب تتهرب كلام اتحداك سؤال شفت شخص يشووه بلد قحبه وسخه ومدري ناس راحو يسبو البلد يشتموه الاخري يستفيدون رح يصير بلد مثلا سب شتم بالله اعرف رح يستفيدو خلاص شتمت البلد ماتو انجلطو اتحداك تجاوب تجاهلت قصفت جبهتك,1
شدخلك نحبو الإسلام الحقيقي يجينا ونحكمو بلادنا بالإسلام ونقيمو الخلافة شدخلك شحرق شعيرك,0
الاخوان كلاب اهل النار النعال يحاربون يرفعون شعار الاسلام الحل ظلما وعدوانا,1
تافهين,0
الاخر تونس تحتاج فتح اسلامي جديد,1
لطفي يحاميش المخنثين نستعرف لطفي,0
ضرباتو روحها,0
حرام,0
نيك امك فلوسك يعطك عصبة الكبوس هابل عصبة باريس,1
سخان وجوع وشهوات ادني محملتوهاش وغدوى ربي ياااااا ديوت,1
هادو يهود تفو شعب تحيا بلادنا وشعبنا مروحش لتونس ومنحطش رجلي يلاطيف جزاير حرين شوالا هادا روح نعايرهم يهود هادو,1
نناقش أصولا انتماء ديني نناقش فكرة,0
تونسه قحاب ورجلهم يخدمو ههههه رئيس دوله متعهم هههههه,1
بارك,0
مهف ماضي يمثل مليح شمس,0
احذر سلفية جهادية الخوارج كلاب النار دخلوا بالسلفية قبول الناس سلفية صحيح,1
تسب ربي لعنة ديوث,1
تفوه المراك المقلبة مغيب زك منظرك,1
هههههه لووول,0
والله حزينة الشعب التونسي جاهل وبعيد البعد الدين الحنيف,1
مشكلت المسلمين يتركون الواقع ويعيشون الخيال مشكل كبير الأيمان القلوب,0
ربي إكراه دين,0
والديل اكبر نسبه داعش توانسه هههههههه,1
شاب بشير الوشام عاملو عورة عورة مستوى ابقى غني حمامتك طارت أخطاك مالثقافة راهي بعيدة ببرشا ضوئية,0
كلام معقول حكايات لخرى حكاية ميراث جابتش تيح لروح,0
أدعو لرجم باجي قائد السبسي بالحجارة ساحة الكبرى تونس العاصمة,1
متأكد حطيت رأي الطرفين,0
نحبها مريم بصح عملات خرج مراء البر معجبتنيش استنسي اخرتك وشي مريم دعويها تخرج,0
شفت الفيديو حبست الماكلة,0
جبري نقاش يحكي صوت المرأة عورة يحكي أمو مرتو بنتو المرا غنات يربح صوتها العورة الفلوس للزلعة مستحيل يوصل لمستواها ثققافتها الغناي حمامة طارت,1
شاهيها حلال بحرام أصبحنا تونس نحل الحرام ونحرم مااحلى ابتغاء مرضات أنفسنا أنفس الغرب يحاربون ليلا نهارا دخل حرب خسر الدنيا والآخرة الجبابرة الاكاسرة دعوا الربوبية ذكر كتابه كنتم تؤمنون بكتاب قصة فرعون بنى صرحا تعلم الصرح وصعد للسماء وإطلق سهاما ضنا يقتل فرجعت غرقه بمن استنجد أكان ينفع إيمانه دع يكن ينفع إيمانها تكن آمنت,0
السحر الساحر فكرة سامي العهري,0
كلاب والله متحشمو تونس والله ماتستاهلو تكونو عرب ومسلمين,0
للعبد خيار سيده جهل فادح الآخرة سترون المساوات وسترون طلبكم للحرية عبيد تريدون تغيير مقصد الخالق تعلموا قوله تعالى خلقت الجن والانس ليعبدون سورة البقرة وقوله تعالى اكملت ديني واتمت نعمتي ورضيت الاسلام دينا سورة المائدة وقوله تعالى ينقضون عهد ميثاقه ويقطعون امر يوصل ويفسدون الارض اولائك الخاسرن سورة البقرة الموت يسلب ايدينا يبقى قدمت ايدينا فاتقوا واتركوا الدنيا وفسادها وغناها الخير والاصلاح استطاع العبد عزوجل والصبر الممات فالجنة تتزين والخير وأكثر واكثر تتصور وتهواه الدنيا رأت اذن سمعت خطر قلب بشر فالصبر خير يكثر رسول صلى وسلم ويامرنا بفعله والتمسك,0
فتح دعاش,0
نعبوك بو زكومك القحب,1
قصدتو,0
تتول يستبدل قوما غيركم يكونوا أمثالكم,0
هههه باز متاعي نندبهم,0
ممكن ترجمه فضلكم معنى ورا لبلايك,0
بيريز الطرابلسي البربري عادي يبيعوا أرضهم يهود الصهاينة,1
يعطيك الصحة الدول امازيغية عربية,0
التونسية تنشر الدعارة الامارات حق الامارات حماية شعبها,1
قليلة التربية غاسلة وجها,0
تفاها تفاعل اسىئلة نصف تعني شيئ للتوانسة,0
جياحة مديرش علها لحوايج تخمام سفهاء إمعة كامل ريف لمدينة,0
لطفي العبدلي جيبلي مرتك نيكها وشد خدمتك الشرف تاعك,1
الشاب زبي عر كعلاف,1
اسمحلولي المخ تونس يسحقها هتلر ادير الصابون جايحة متعرف تهدر ماشابة ماتدخل القلب عندو الحق صوت المراة عورة الغناء مزمار الشيطان,1
القصف يعطيه,0
نحب لطفي مي منهار تفرجت يدير برنامج التربية الجنسية معزة مي القحاب والله تعيي ومتشرفش التمثيل,1
خايف عارف سر,0
يهلكهم,1
زبي تونسي كرك قحية الجزائر اخ جزائريات قحاب واعرات النيك المص الزب القلاوي هعغعهخح ازور الجوائر قريبا,1
يبهدل لطفي يلعب مورال بففففف,0
مواطن ينتظر خيرا الاحزاب اليسارية تحارب القرآن ويصوت يعرض طبيب الامراض العقلية لحزب سياسي يعادي دينك يفكر مصلحتك والله يتورع محوك وجه الارض ليتخلص الفرصة,0
لطفي ناسي روحوا حصتوا قلة ادب,0
حرام تشجعي فلوقاحة والعنف اللفضي,0
انسان مختل عقليا تسقط تونس يد اليهود الملحدين,1
تعالى يحكم أنزل فأولئك الظالمون صدق العظيم,0
مسخفتني مريومة مسيكنة انشاء تلقا راجل,0
إنشالا ماتكونش مريم نسا شافهم رسول محمد رحلة إسراء معراج رفقة البراق الإطلاع مستقبل جهنم السفر عبر الزمن رسول نساء كاسيات عاريات مائلات مميلات رؤوسهن كأسنمة البخت المائلة يدخلن الجنة يجدن ريحها,0
صحيح القانون المساوات تونس البلدان العربية الاسلامية الرجال يخشون تمردو المراة يستولي الميراث بحجة الحق يطلق ويرمي بزوجته واولاده خارج المنزل ليعد الزواح يرمي بامه اخته الشارع ويهرب مسؤوليته زوجته اطفاله يدخل السجن بتهمة دفع النفقة واكثر دليل الحصص الاجتماعية مرت القناوات التونسية منقولك اقول القانون يضمن للمراة حقوقها,1
شمس الدين باشا ارجل وأحسن لطفي حيوان والله منطيقك لطفي شمس الدين فوووووورررر والله بلاصتوا ماهي,0
كمرا تونسية يعنيني القانون محتاجة لقوانين أهم ببرشا المرا التونسية حاجة تتصان تتحفظ كرامتها يحميها القانون تجاوزات حكومتنا الأسف سيبت المهم شدت الحكايات الفارغة تلهي الشعب الفايدة,0
نقترح عبدلي يمشي معري ترومو وشرفو تمثيلو,0
جأت الفتوه,0
رافت الهجان,0
لحور التونسي يعطيكوم عصب,1
عاجبك الحال لعملوه هدا مغربي مراهش خوك مراهش مسلم يقلك منقدرش نرجع لاهلي وانا دارولي عاهة باين وليد حرام شاء يصيبك أصابهم وتعرف ربي متخفش ربي حسبنا ونعم الوكيل,0
المذيع أعتقد يأخذ راتبه قطر فالحذر الحذر,0
ديرو توعية الرجل يحترم حق المراة طبيعتو واخلاقو وايمانو اجباري قانونيا كتخالفو توعية اعطاء دي حق حق شرا واعترافا الكتاب والسنة حلل الشرع اماتحليل ماحرم عواقبها كارثة الامة الاسلامية اراك دالك خيرا ويعلم لاتعلمون فلاتغيرو شعائر فانها فسوق وفساد مجتمع اكمله تمعنو خشوع وتامل لمدا اراد دالك والله سبب فتن والعداوة مايد ورافض اتقو وحترمو شعائره لاتفتنو كتاب والسنة واننا احسنو امة ضاع تربيتنا وفهمنا غلط شريعتنا جاء وقت تحطيم حق اعطاه لرجل فتن تجعل رجال قليلو زماننا اصبحو شدود ضغط كرامة الرجل سبب وصول زمان رجال قليلو لاتفترو وتندمو رقيب اتقو كفن مالو جيب ولقبر رصيد,0
ههههه سيناريو مسلسل أكيد,0
الفاسقات بنات الخليج ينامو السواقين الهنود والباكستانين وبنصح خليجي يعمل فحص يتأكد ابوه باكستاني,1
فيبالك يسكنو شرق دزاير هوما اصل توانسة مي قسمت فرنسا عملت حدود خذاتهم لدزاير,0
نقصد طريقة كلامه المنحطة كلامها العقلاني كيفي بالضبط,0
تتهمهم بالتكفيريين الملحدين والعلمانيين إختر ماهو مجود تونس,0
مستويات حاسب روحها متثقفة مايا شحمة ارض واليهودي يضحك يناري روحي,0
ليبيا وتابعت الحلقة كاملة الشخص لطفي اسلوبه عيب ومش تمام الراجل ماغلطش تتمنيك باين شعورك بالنقص وحاسد طلع اعقل عيب حقرة الناس,0
قحبة عاملين طاولة وأربعة كراسي,1
جزائري ولد القحبة مغربي كلامك زامل لعطاي ولاد لقحاب كينتحلو شخصيات مغربية كيديرو العداوة خوتنا تونسا,1
متربية وشايفة روحها النفروض راكي تخمي لدار غدوى,1
اقسم بالله قاري تسميتي دزيري غبية تملك مؤهلات علمية تسمية وضعية حدود وهمية انتمائي عربي مسلم حدود,1
لطفي شرير شمس الدين باشا متربي,0
نعيشوا فرنسا ونخدموا راس الشهر يبقى فرنك الكرى والضرائب شطر العباد تعاني يفضل فلوس احسبوا ياخذ الاعانات مالدولة ويخدم الاكحل وحارم روحو وعايلتو جعان ومجرتل عمل فلوس احسبو سارق خدامتو اوراق خلصهمش نقصو مالبص عالعباد,0
مليارداره شهره عالميه النطق ربي معطاكش نطق كامل تطلعوا برامج قدام الكاميرا احكوا حاجات مهمه الزوالي والبوتوكس مستويات,0
تكفيري خارجي بسلفي,1
تتذكرو فازة خواتها الستة وقتلي خرجت تبكي وقعدو الناس يحكيو بالهم خوات طلعت لفازة مسلسل رمضان اسمو صبايا ظاهرة لفازة نفسها تحكي تكتشفوه مسلسل رمضان بطولة مريم الدباغ تفكروه مليح الكومنتار,0
خساره اسم احمد مرتد,0
برا نيك زبلا,1
قالت الاغنية تعجبني قالها الشاب بشير الاغنية موجهة للشريحة العمرية اغنية شبابية غاضها الحال العالم كامل يعرف اغاني الراي شبابية طلعت جاهلة وغبية,0
لطفي العبدلي تافه حاسب روحو حاجة كبيرة,1
خبرة النيك,1
والله فهمتش تمسخ روحها لدرجة مجاهرة بالعصيان,0
كذابة الصحيح تهبط التصارر وماتحشمش,0
يااجعانين مرامكش رجااال يلعن الكرش حملت لعنة ديوووووووث,1
ياخويا السماح بشير خرية وتافه وغبي,1
تحكي بناتنا قرد,1
شمس فور صغير,0
شخصيات تاريخية سكر فمك محمد سالم نسيت الأكاديمي المصري فضحك مسمع العالم أخرص لسانك أناذاك تتشدق الشعب شوف نفسك ياعميل سيدك الطرطور والغنوشي والكل يعرف مزايدة الوطنيين التجمعيين الدساترة الأحرار برى شوفهم التجمعيين الفاسدين انضمو للنهضة والنداء كذاب ومفتري اقروا التاريخ القادمة قتل يوسف ابن عمه زرڤ لعيون يامفتري,0
والله سلطان الغلة الحق,0
والكفار كيفكيك اتقو اوصومو رمضان شهر,1
مريم صحيتك,0
دليل الانترنات,0
الحجاج ابن يوسف الدواء للدول العربية,0
منجام انقول بصحتو كسارها ليلة دوخلة ربي يستر مغبر شعب احراف,0
توانسة زوامل قحاب فاك لخبزة مكم,1
نيك امك مايا لقصوري فور خويا كريم اصل الجزائر التوانسة احتراماتي التوانسة,1
تفرض رايك عالعبد مايحبش يطبقو شمعناها الدكتاتورية الفكرية العباد تفرض كاش تخمم نتصور نتفقو الناس هوا جهل قاعدين يخرجو مالاسلام جرت العباد هاذم تفرض رايها بالسيف مثلا الرسول اعمل تعمل هوا الحقيقة الرسول قالك اعمل تعملش ربي شيحاسبك عبادو العباد شيهمهم ربي شيحاسبك يدخل روحو تحب تطبق الاسلام طبق تحبش تطبقش نهار ربي شيحاسبو العبد العباد الجهال عايشين مشكلتنا الدين مشكلتنا الاحترام,0
اوفقك الراي,0
كذب حكاية حكاية صبيا,0
الفيديو مزيان العياري خشين وجه الترمة اياد ادهماني مفلوق منايك هوا مفسد الفيديو,1
حافظو كتاب وسنه رسوله صلى وسلم,0
تونس منظر شوف الشعر مزال بالي موظه هاكي الكرش هاذا جاهل كريم الغربي ينقد حده مثقفه مره,1
الرجل خارجي وحاشا السلفية فضح ذكر لادن والظواهري ليسو بسلفيين خوارج الصوره وضحت العقلاء والحمد لله نعمة السنة,0
تفوووو كفار اشوفك اقطع راسك كلب,1
خير العهر والزنا والفسق والفجور لله الراجعون,0
التوانسة فساااااد,1
حرية الخراء الشارع نطالب بوقفة للمطالبة بحرية الخرى الشارع العام خرية مواطن,1
حساب هده العارضة اشرف هادين الشيخين خخخخخ,0
شوي,0
الفرصة ضيعها يديه قداشكم ناس تموتو اللقمة الباردة رغم موافقة ولد عواطف يعمل جوابو الصميم وصحيح,0
ميبون,1
ليسانها الطويل ماوراه رجال كبار,0
صاحبت بنات نتوقع تتجسس واكثر سلاح,0
حبيبي العبدلي يرحم الام جابتك زيدوا هالصبية راسو,0
انتظروا عقاب رضيتم بطش ربك لشديد,1
سامحنى شايف القانون انفتاح وحريه يبقى تروح تراجع القرآن وتفهمه كويس وهتعرف ازاى ربنا قسمه بالضبط واعطى حقه ونصيبه عادل,0
مايا اكبر قحبة تونس والاسلام بريء ربى خلقك المعزة انشاالله يحكمك مرض الموت تشتاقيها,1
منهضمهاش مايا برجولية المرة حق شاب بشير موخو يحكي صوت لمرا عورة جايب طفلة تميل فالكليب متابعة يدنو مخرب بالوشام يحل فمو يحكي,0
رد صاعق إمرأة تونسية السبسي إعلانه رغبته إبطال أحكام الإسلام الميراث ليلى العود رئيسة تحرير موقع الصدى الإخباري كامرأة تونسية يعنيها السياسيين حقوق وحرية المرأة حقوقي مضمونة بالإسلام وحريتي كفلها الإختيار الكفر والإيمان يفعله السياسيون خطر أقول إني كافرة بسياستكم تلزمني فسوف يقفون الحرية ولسان حالهم شاء يكفر نقرر فالسجون والتعذيب والإذلال انتظاره فكامرأة تونسية أنتظر خطاب رئيس البلاد الباجي قايد السبسي الأحد,0
لدربها تحياتي ونحبك ملقري منعرفكش جملة,0
دين يالتونسة حديث قهوة وتمجدو العاهرات ومتعطوش حق لرجال تحبو تنثو رجلكم,0
غالط اختك تنحي سروالها كلب,1
لطفي متربي بتاتا بيهتم بالميديا ويل يحدث بالحديث شخص ليضحك الناس,0
فهمتو درك الناس كيفاه عيشين المرأة جابت سواردها,0
قالت منشربش الفوتكا,0
جهلة يسمع المليارات خلاص تونس وصلت للقمر ومعادش يتكل الميراث للعلم الحالات المرأه حصتها اكتر الرجل جهااااااال الزب يعرفوش يتكل عربي ويتكلمو الدين,1
الميراث الشرعى أمر الهى كالصلاة ياملعون,1
مزلتش آخري صبب ااكل الفلوس مفهمتش علش معندهش جواز سفر تونسي,0
هدي مريم غي منهرفهاش,0
مجدب,0
مراد ماعندكش المستوى الدكتور وديع فلذا اسكت ارد الدكتور ويعملك قيمه اسكتك دكتور,0
سترها ربي ماكنش جزايري بلاصت بشير يضروبها,0
ياماكان قديم الزمان الحياة والغد ملايين السنين الحل والغد علمنا ودينا حمار السيخ فيااعقبة ومسمار حيط معلق وعجوز صدقت لقاتلها عكاز المستقبل يجب رؤوس رؤوس ومش انتهازية الإسلام الفلوس,0
كلكم كذب وبوز ونفاق شفونا موضيع تنفع شعب خير والله شعب مسكين يحل يتفرج تلفزة عايءلة وخايف غشة وكلام زايد تربحكم كلكم متخلفين جهال تفوه فردا فردا,0
يقدكم الجاني المحقق القاضي عصابه كبيره مافيا عمرك ماك تسمع لقينا تقصير غلطنا تقلك تعفنات مناش التعفنات وقت قسم إنعاش ينقصو التعقيم الطاقم مايهتمش بمعايير النظافه تبدأ مريض امريض عادي اقل جرثومه تتعدا للمرضى تلقاهم ضربو الماكينات المشكله الضمير,0
تفووووووه زبور الكرة تونس جايبين كارثة الميبون الجريء رءيس جامعة,1
لكبير كبير عاهرة,1
بشير والله انسان القمة مستواك أعلى مستواها خليك ماتفهم,0
معجبتهاش بشرى المساواة الميراث أعملي جام ليمعا النسوية تبول بلواقفة نحكيو,0
كلامك صحيح تونس افريقيا بلد تجمع اتحاد المغرب العربى لطالما المطمع الاستعمار استعبدونا اتحاد العرب اذن لفكنا الاستعمار استعمال اسم تونس بالاتحاد العربى ه لطالما حاربنا بالانفسنا معى المغرب العربى العودة الفضائح تقام البرامج حديث الانحلال المغرب تونس ووما خفى الخليج اعضم تعتبرون سخرية للغرب فالغرب يهتم بمشاكل الدعارة الضلم القرارات السياسية السخيفة لالميكوت نحنا نحيا دين نحاف وولا تحسبنا فعل السفهاء منا يعنى الاقلية الفكر التفتحى الغربى فالحرية مبنية مقايس الغرب الاسلام نقبل بفتوحات لاستملاكنا قبلا تونس دولة إسلاميةفقط افضل ربطنا بالعروبة رغم تاريخها المشرف نريد رجالا تقف معنا السخرية منا جعلنا اسما تونس بلاد الحضارات بلاد الفارقة بلاد التونسين الاحرار رغب يعيش اهلا أرض يجب زرعه كلى جيل اسلامى يحدث حدث للمسيحيين المسلمون حافضو تحريف القران فوجدو طرقا حل الشعوب,0
تكونوا يولى السبسي رءيس طاغوت مثله التونسيات خرجن الصواب,1
لاعلاقة بالتمثيل متعرفش تمثل خلاص نيتكم صدقتيوها تكدب درك يظهر مسلسل جديد تلعب دور معرسة صغيرات,0
تعالي مصي زبي تعالي جزائرية قحبة,1
دخلك,0
طلعت عاهرة,1
البهيم تقولو ار ار ار ار مزروب تزي تقلو ار ميتحركش تتضربو,0
اختلطت الأديان فمسكو دينكم حسبنا ونعم الوكيل,0
يرحم والدينا والديك,0
اندير نبغيه حر فتصرفاتي الشخصية عمري لاذيت انسان بصح المسلمين جهلة متخلفين لايفقهون التدخل امور الاخرين التعدي القانون بحجة الدين الدليل بلي الدين الاسلام جهل تخلف ارهاب صيغة دين,1
تونس ترمتك الخانزة بالعاد الشهرية وريحت البول والعرق يافايحة تفوه ياقحبة,1
صاحب صخرة الماطري,0
اللغة العربية لغة القرأن أحببت كرهت أظن فقر لغوي الألفاظ تستعملها,0
المسخرة وتمثيل وكذب,0
مايا عاهرة تدافع الإسلام تقزم,1
رئيس تنوس عطى الشعب اقسموه,0
بلادك اوسخ بلد شفت ريبورتاج الدزيرين والليبين فطارين رمضان الشارع,1
فتنة قالو يقسم توانسا علمانيين ومتحررين وقابلين القانون,0
متوقف الشعب التونسي صمت اثبت حاجته وتمسكه بالاعضاء التناسليه والدعاره خرج واوقف القرار اثبت تمسكه بخالقه ودينه,0
تونس للعرب والأمازيغ تونس قوميات أخرى شركسي تونسي والإسلام باقي بإذن,0
ياولد القيروان ياودي سير بدل غي اسميتك المجوسي,1
يجب ضغط حزب نهضة بصفته الحزب الأول البلاد لإسقاط هاذا القانون لعبة سئ ذكر نتذكرو جميعا دعمه مكرون الفرنسي,0
